epoch 6641, ave-loss 2.281434, time 12.68 sec
epoch 6642, ave-loss 2.280402, time 12.54 sec
epoch 6643, ave-loss 2.281243, time 12.47 sec
epoch 6644, ave-loss 2.280992, time 12.41 sec
epoch 6645, ave-loss 2.281135, time 12.41 sec
epoch 6646, ave-loss 2.281443, time 12.49 sec
epoch 6647, ave-loss 2.280952, time 12.55 sec
epoch 6648, ave-loss 2.286428, time 12.47 sec
epoch 6649, ave-loss 2.284432, time 12.66 sec
epoch 6650, ave-loss 2.285732, time 13.02 sec
epoch 6651, ave-loss 2.284566, time 12.78 sec
epoch 6652, ave-loss 2.283407, time 12.85 sec
epoch 6653, ave-loss 2.282967, time 12.68 sec
epoch 6654, ave-loss 2.281743, time 13.14 sec
epoch 6655, ave-loss 2.281493, time 12.77 sec
epoch 6656, ave-loss 2.281061, time 12.74 sec
epoch 6657, ave-loss 2.280914, time 13.03 sec
epoch 6658, ave-loss 2.280328, time 12.96 sec
epoch 6659, ave-loss 2.280466, time 12.70 sec
epoch 6660, ave-loss 2.280534, time 12.70 sec
epoch 6661, ave-loss 2.280605, time 12.84 sec
epoch 6662, ave-loss 2.280292, time 12.82 sec
epoch 6663, ave-loss 2.280484, time 12.76 sec
epoch 6664, ave-loss 2.280916, time 12.72 sec
epoch 6665, ave-loss 2.280730, time 12.73 sec
epoch 6666, ave-loss 2.280168, time 12.86 sec
epoch 6667, ave-loss 2.280643, time 12.76 sec
epoch 6668, ave-loss 2.279996, time 13.00 sec
epoch 6669, ave-loss 2.280494, time 12.90 sec
epoch 6670, ave-loss 2.281645, time 12.72 sec
epoch 6671, ave-loss 2.281482, time 12.96 sec
epoch 6672, ave-loss 2.281711, time 13.09 sec
epoch 6673, ave-loss 2.282877, time 12.87 sec
epoch 6674, ave-loss 2.282026, time 13.10 sec
epoch 6675, ave-loss 2.282416, time 12.98 sec
epoch 6676, ave-loss 2.280824, time 12.83 sec
epoch 6677, ave-loss 2.280789, time 12.85 sec
epoch 6678, ave-loss 2.280843, time 12.68 sec
epoch 6679, ave-loss 2.280953, time 12.85 sec
epoch 6680, ave-loss 2.280478, time 12.75 sec
epoch 6681, ave-loss 2.280178, time 12.87 sec
epoch 6682, ave-loss 2.280565, time 12.66 sec
epoch 6683, ave-loss 2.281044, time 13.11 sec 
epoch 6682, ave-loss 2.280565, time 12.66 sec                                                                                                             [92/1847]
epoch 6683, ave-loss 2.281044, time 13.11 sec
epoch 6684, ave-loss 2.280538, time 12.75 sec
epoch 6685, ave-loss 2.283153, time 13.00 sec
epoch 6686, ave-loss 2.290791, time 12.96 sec
epoch 6687, ave-loss 2.304463, time 12.87 sec
epoch 6688, ave-loss 4.860835, time 12.65 sec
epoch 6689, ave-loss nan, time 12.79 sec
epoch 6690, ave-loss nan, time 12.95 sec
epoch 6691, ave-loss nan, time 12.66 sec
epoch 6692, ave-loss nan, time 12.91 sec
epoch 6693, ave-loss nan, time 13.04 sec
epoch 6694, ave-loss nan, time 12.79 sec
epoch 6695, ave-loss nan, time 12.77 sec
epoch 6696, ave-loss nan, time 12.63 sec
epoch 6697, ave-loss nan, time 12.68 sec
epoch 6698, ave-loss nan, time 12.83 sec
epoch 6699, ave-loss nan, time 12.66 sec
epoch 6700, ave-loss nan, time 12.66 sec
epoch 6701, ave-loss nan, time 12.86 sec
epoch 6702, ave-loss nan, time 13.25 sec
epoch 6703, ave-loss nan, time 12.75 sec
epoch 6704, ave-loss nan, time 12.71 sec
